Id,Category
uttr-c943514d1fae4ae983d10e8987856b13.pt,id05468
uttr-f8affff33d5c451c9b5856bd4764f4d9.pt,id07581
uttr-f8132869848f4a10be83b5374934700b.pt,id04436
uttr-0c666202ef5846fcb9efed935101db2e.pt,id01841
uttr-cd07d1ec44c94eed9c4ada9b7c31e752.pt,id04733
uttr-e0dac266ca5d4eb4a001b872be77e68e.pt,id03221
uttr-043ccdcb60c3440b8d3e8f8aae0f3aab.pt,id02575
uttr-098c8701b2904f9dae6b9f623b0582e2.pt,id06277
uttr-a5acaf4fef0a4a2488637991b22279ce.pt,id04665
uttr-39878c345a9e4014babe84415cf6f2d2.pt,id04336
uttr-170e06ee5be94fcda2bc19709f532f6f.pt,id09039
uttr-860fd815483b4fc8b1bc828771cac447.pt,id07254
uttr-d310fa79512146a49c99a0719491de3d.pt,id06052
uttr-d7c6ac4446454f489a48d68f50efb951.pt,id00964
uttr-51076f9281124849895904e3d0df1cd2.pt,id06068
uttr-402a9949ed4044c894dc6f4be8bed5e2.pt,id05483
uttr-a370329a685e4b819496b6cc1cbf9848.pt,id00387
uttr-90ddea989d3242ce8e1e0f1b1d740191.pt,id04215
uttr-ae75d8072c1c4c549ec705a18708d7b2.pt,id01624
uttr-8e172c7c7d5c4241ae060a96c24f9284.pt,id03977
uttr-2e056d42d8334d399f800ab4a668a656.pt,id01031
uttr-fc04aafa56b740c892fbd6b6172692ff.pt,id05211
uttr-1af2dfe07aa9449db016f390f714a86c.pt,id05264
uttr-bba6e44fe2794416ba96b5faeaa6dc4f.pt,id05660
uttr-8c4288028c8c40ebb933347be7ed9037.pt,id02210
uttr-2280b0a01ace4e269c4374bdb2dc7790.pt,id06301
uttr-17e084a451ca4a898220f5a9cc2e59df.pt,id04895
uttr-58e6d6a230d44fc593106f306b136d05.pt,id00931
uttr-6127922faf1e4213a0cfa712aedb3d75.pt,id08315
uttr-358025a49fb34b439c509ad40870bd33.pt,id05470
uttr-10659a7fe1be45f19f0f2c468156199a.pt,id04751
uttr-66d9bbccbf3446e5b68e84f25aa44673.pt,id04483
uttr-d296ce809b504f348885ae5b7f89807e.pt,id03890
uttr-d5e2c4800a8b472c87e739f6c9893f92.pt,id05895
uttr-197dc9078cb24b92833db3106f9d868c.pt,id07526
uttr-1d67a0d220ba4c488c543a71d3ce156a.pt,id00934
uttr-7111ac856a2b4d0c94c60d1ef3cdd986.pt,id07745
uttr-0ea9d2888d794be4b8830fdf18729dba.pt,id07361
uttr-7a2c483e81044de5a3c5233e1b8abdf6.pt,id08870
uttr-047de72af641445896c63d282bb2dde0.pt,id07738
uttr-cf2f21f2d6964e5fb39a863f34ff02d8.pt,id06019
uttr-bf721095daba402a989b963f3c34ad06.pt,id00416
uttr-8acda7344e9042ffb9ec40514dfcadb7.pt,id00559
uttr-7b3a1ea4e7e94fb893f692c7780997b9.pt,id08806
uttr-3f048fe6aff8430bad0f896b5513223d.pt,id05660
uttr-e6a053b29a1e470c8ac8387b9bc66e7d.pt,id01946
uttr-8c44244e2c1e418b98081f60d0b93766.pt,id06417
uttr-33d3868ce9db4d8e9efca0736089f5bb.pt,id07783
uttr-1faf955e053a49d68f36c8f1367a1289.pt,id04531
uttr-1fd1ac5c6d1f4aaa831bd0b4e6033ab1.pt,id01972
uttr-2a4ab1b6f753496b9e568baea40b9420.pt,id04665
uttr-634219ccab844b5495d3f8f66ab4bf1f.pt,id00129
uttr-4f729126fa7441ccb06641f229670132.pt,id08567
uttr-7d6483ee470c4c38a7c093cf3a76a6b4.pt,id04531
uttr-5224a40fcaef46c7bb132401e4f90a12.pt,id04175
uttr-6f1b2bcbc69042dbb72dda3d87ad9d5f.pt,id04077
uttr-5226e81b3da8497e97d575ae55b0e105.pt,id01915
uttr-ac693a7627364085ad975e3e997f1dbe.pt,id02080
uttr-0b3e6b4a0f214f979acfc6a1ec2b285b.pt,id02882
uttr-ac6397a160674605afde4ebbd68d5ac5.pt,id05264
uttr-1b0fbde871e147a89e040772d3af47c7.pt,id02702
uttr-555c304407c546b69edf06310573a346.pt,id06052
uttr-2a78be76fc6a4d2b843226b9ced2b54a.pt,id01105
uttr-cde3f2b8e4034d08b2c9726decc40fc1.pt,id03749
uttr-f34bce4bf7254817b9014067ddb2ab52.pt,id08402
uttr-5b5d5b37832b45bc8a93de46ffbd5a55.pt,id00129
uttr-53e58334519448b4a43c471f226d27f4.pt,id08954
uttr-c6841614147d4b0fa50e5db10dfad313.pt,id00036
uttr-fa70a4bd318341af95ce1a646fb9ae7a.pt,id04527
uttr-3e8fc2055d8048c88a9cb0edada1ea16.pt,id03188
